央视频道,#genre#
CCTV-01 综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-02 财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-03 综艺,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV-04 中文国际,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-04 中文欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CCTV-04 中文美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CCTV-05 体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV-5+ 体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-06 电影,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV-07 国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-08 电视剧,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV-09 纪录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10 科教,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11 戏曲,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV-12 社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13 新闻,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV-14 少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15 音乐,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8
CCTV-16 奥林匹克,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV-17 农业农村,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CGTN-01 英语,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN-02 纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
CGTN-03 俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8
CGTN-04 法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8
CGTN-05 西语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
CGTN-06 阿语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8

卫视频道,#genre#
山东卫视,http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000031/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000038/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000034/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000021/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000035/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000039/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000041/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000026/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
厦门卫视,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
