央视频道,#genre#
CCTV-01 综合,http://172.16.1.254:11111/rtp/239.253.254.77:8000
CCTV-02 财经,http://172.16.1.254:11111/rtp/239.253.254.232:8000
CCTV-03 综艺,http://172.16.1.254:11111/rtp/239.253.254.4:8000
CCTV-04 中文国际,http://172.16.1.254:11111/rtp/239.253.254.5:8000
CCTV-05 体育,http://172.16.1.254:11111/rtp/239.253.254.6:8000
CCTV-5+ 体育赛事,http://172.16.1.254:11111/rtp/239.253.254.80:8000
CCTV-06 电影,http://172.16.1.254:11111/rtp/239.253.254.7:8000
CCTV-07 国防军事,http://172.16.1.254:11111/rtp/239.253.254.233:8000
CCTV-08 电视剧,http://172.16.1.254:11111/rtp/239.253.254.9:8000
CCTV-09 纪录,http://172.16.1.254:11111/rtp/239.253.254.79:8000
CCTV-10 科教,http://172.16.1.254:11111/rtp/239.253.254.11:8000
CCTV-11 戏曲,http://172.16.1.254:11111/rtp/239.253.254.12:8000
CCTV-12 社会与法,http://172.16.1.254:11111/rtp/239.253.254.235:8000
CCTV-13 新闻,http://172.16.1.254:11111/rtp/239.253.254.14:8000
CCTV-14 少儿,http://172.16.1.254:11111/rtp/239.253.254.236:8000
CCTV-15 音乐,http://172.16.1.254:11111/rtp/239.253.254.16:8000
CCTV-16 奥林匹克,http://172.16.1.254:11111/rtp/239.253.254.6:8000

卫视频道,#genre#
山东卫视,http://172.16.1.254:11111/rtp/239.253.254.78:8000
山西卫视,http://172.16.1.254:11111/rtp/239.253.254.48:8000
湖南卫视,http://172.16.1.254:11111/rtp/239.253.254.82:8000
湖北卫视,http://172.16.1.254:11111/rtp/239.253.254.88:8000
广东卫视,http://172.16.1.254:11111/rtp/239.253.254.90:8000
广西卫视,http://172.16.1.254:11111/rtp/239.253.254.40:8000
河南卫视,http://172.16.1.254:11111/rtp/239.253.254.44:8000
北京卫视,http://172.16.1.254:11111/rtp/239.253.254.85:8000
天津卫视,http://172.16.1.254:11111/rtp/239.253.254.89:8000
重庆卫视,http://172.16.1.254:11111/rtp/239.253.254.38:8000
江苏卫视,http://172.16.1.254:11111/rtp/239.253.254.83:8000
浙江卫视,http://172.16.1.254:11111/rtp/239.253.254.84:8000
东方卫视,http://172.16.1.254:11111/rtp/239.253.254.86:8000
东南卫视,http://172.16.1.254:11111/rtp/239.253.254.41:8000
海南卫视,http://172.16.1.254:11111/rtp/239.253.254.35:8000
四川卫视,http://172.16.1.254:11111/rtp/239.253.254.50:8000
安徽卫视,http://172.16.1.254:11111/rtp/239.253.254.87:8000
江西卫视,http://172.16.1.254:11111/rtp/239.253.254.47:8000
陕西卫视,http://172.16.1.254:11111/rtp/239.253.254.49:8000
甘肃卫视,http://172.16.1.254:11111/rtp/239.253.254.52:8000
宁夏卫视,http://172.16.1.254:11111/rtp/239.253.254.53:8000
云南卫视,http://172.16.1.254:11111/rtp/239.253.254.42:8000
贵州卫视,http://172.16.1.254:11111/rtp/239.253.254.51:8000
新疆卫视,http://172.16.1.254:11111/rtp/239.253.254.60:8000
青海卫视,http://172.16.1.254:11111/rtp/239.253.254.54:8000
西藏卫视,http://172.16.1.254:11111/rtp/239.253.254.56:8000
辽宁卫视,http://172.16.1.254:11111/rtp/239.253.254.92:8000
吉林卫视,http://172.16.1.254:11111/rtp/239.253.254.46:8000
兵团卫视,http://172.16.1.254:11111/rtp/239.253.254.57:8000
农林卫视,http://172.16.1.254:11111/rtp/239.253.254.70:8000
深圳卫视,http://172.16.1.254:11111/rtp/239.253.254.91:8000
黑龙江卫视,http://172.16.1.254:11111/rtp/239.253.254.93:8000
内蒙古卫视,http://172.16.1.254:11111/rtp/239.253.254.58:8000
